date,equity
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-09,99835913.79
2009-01-09,99835913.79
2009-01-31,99093553.87
2009-01-31,98774550.31
2009-01-31,98175862.18
2009-01-31,97982378.32
2009-01-31,98498480.50
2009-01-31,97719207.21
2009-01-31,98973139.92
2009-01-31,98242577.28
2009-01-31,97952763.61
2009-01-31,97494341.12
2009-01-31,98071115.39
2009-01-31,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-06,99150138.96
2009-02-20,98499824.57
2009-02-20,98499824.57
2009-02-28,97490102.67
2009-02-28,95832650.96
2009-02-28,95036940.43
2009-02-28,93860069.42
2009-02-28,93437718.89
2009-02-28,93309413.37
2009-02-28,93392274.04
2009-03-06,92945012.65
2009-03-06,92694241.05
2009-03-06,92694241.05
2009-03-06,92694241.05
2009-03-06,92694241.05
2009-03-06,92694241.05
2009-03-06,92694241.05
2009-03-06,92694241.05
2009-03-06,92694241.05
2009-03-06,92694241.05
2009-03-06,92694241.05
2009-03-27,92597704.74
2009-03-27,92597704.74
2009-03-31,92193378.18
2009-03-31,91889965.34
2009-03-31,91504926.56
2009-03-31,91079440.45
2009-04-03,91079440.45
2009-04-03,91079440.45
2009-04-03,91079440.45
2009-04-03,91079440.45
2009-05-29,90680192.30
2009-05-29,90680192.30
2009-06-26,89880057.65
2009-06-26,89880057.65
2009-07-10,89344553.63
2009-07-10,89344553.63
2009-08-31,92596398.96
2009-09-04,92596398.96
2009-09-25,93317608.73
2009-09-25,93317608.73
