key,n_trades,cagr,sharpe,calmar,max_dd,alpha_ann
P10_00_baseline,1242,12.475289801820843,0.47422515369426355,0.2128307888301512,58.61600133323145,4.286796516587217
P10_13_sig_count_15,1223,5.4079180131441085,0.2162543074475998,0.09011792444103488,60.00934937957395,-1.755003784954657
P10_12_sig_count_10,1219,4.304502161755819,0.1723499756221171,0.0668294956724728,64.41021465808923,-2.7114107915042327
P10_21_volume_05,1496,2.03902659016304,0.1180694713925474,0.024252693886073703,84.07423108300075,-3.34942575041699
P10_43_vol_body,1575,1.1782197668546823,0.09943056723087584,0.01437930945038316,81.93855003400645,-3.484512430090889
P10_11_sig_count_05,1260,1.471509460723186,0.05758005578362586,0.01975027053169919,74.50578757194303,-5.84135335579154
P10_42_sig_body,1420,0.858503493816487,0.055912419324803925,0.011543451164502111,74.37147535708536,-5.549729016289436
P10_22_volume_10,1509,-0.4964776203306154,0.034492878692307716,-0.005813583377185659,85.39958715978008,-6.20594704921177
P10_33_body_15,1435,-0.38644693750528036,0.004628189121671404,-0.005235452802900666,73.81346982846874,-6.312688770785002
P10_44_all3,1516,-1.4171357475511015,-0.000570960463482658,-0.01678565361172002,84.42541353061367,-6.974135706532035
P10_23_volume_15,1520,-1.7416340739763503,-0.015583147960062185,-0.01995841875995009,87.26312915486224,-7.8841316817031855
P10_41_sig_vol,1526,-1.4609585333648312,-0.01588670228418381,-0.017480153078037002,83.57813154396555,-7.881008463756964
P10_32_body_10,1438,-1.496463296965378,-0.0362678137113967,-0.01817513982960271,82.33572401616506,-7.694044472219687
P10_31_body_05,1415,-2.5400719445937137,-0.08772333642532207,-0.031023602420258416,81.87546727117179,-8.961959133174096
