date,equity
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-02,100000000.00
2009-01-16,100015540.06
2009-01-16,100015540.06
2009-01-31,99273180.13
2009-01-31,98954176.58
2009-01-31,98223613.94
2009-01-31,97765191.44
2009-01-31,98341965.72
2009-01-31,99555454.31
2009-01-31,99395698.11
2009-01-31,99864466.84
2009-01-31,99929759.85
2009-01-31,101069340.43
2009-01-31,101285974.11
2009-01-31,101402828.14
2009-01-31,101929491.00
2009-01-31,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-06,101168521.87
2009-02-20,99599178.12
2009-02-20,98930509.70
2009-02-20,98930509.70
2009-02-20,98930509.70
2009-02-28,97920787.79
2009-02-28,97058609.00
2009-02-28,96624338.34
2009-02-28,96492411.61
2009-02-28,95813958.15
2009-03-06,95354073.57
2009-03-06,95096224.35
2009-03-06,95096224.35
2009-03-06,95096224.35
2009-03-06,95096224.35
2009-03-06,95096224.35
2009-03-06,95096224.35
2009-03-06,95096224.35
2009-03-06,95096224.35
2009-03-31,94784248.19
2009-03-31,94379979.36
2009-03-31,93933243.15
2009-04-03,93933243.15
2009-04-03,93933243.15
2009-04-03,93933243.15
2009-06-19,93365747.00
2009-06-19,93365747.00
2009-06-30,92347824.38
2009-07-03,92347824.38
2009-07-10,91853387.32
2009-07-10,91853387.32
2009-07-17,91640497.51
2009-07-17,91640497.51
2009-09-25,92382062.22
2009-09-25,92382062.22
2009-09-30,92576687.44
2009-09-30,93409199.06
