fold,n_trades,cagr,sharpe,alpha_ann,outperf_ann,dd_pct,seconds,variant
F1_2009_2013,313,16.38151758849158,0.7384985175426854,9.420134421678684,5.244707036482921,26.911509523807087,107.29623174667358,book_only_baseline
F2_2014_2017,299,10.012713479180801,0.4151187305855256,5.452993389661009,3.7644843009884577,35.14684757827104,87.63216137886047,book_only_baseline
F3_2018_2020,275,-6.169159529953916,-0.15245258708160994,-7.874783454981883,-10.179657297442034,59.802716368199484,73.72161626815796,book_only_baseline
F4_2021_2026,422,20.821118146571614,0.6997110501723575,6.7325081945921,2.4336987311436076,40.509945236493664,111.27731704711914,book_only_baseline
F1_2009_2013,325,23.947708110121056,0.8791278325902301,16.711501356567933,12.8108975581124,39.07452180295093,65.73559737205505,R16c_body_strong
F2_2014_2017,295,9.562442931927183,0.4218433283637933,4.825254872768523,3.3142137537348404,29.721703918839037,50.52461004257202,R16c_body_strong
F3_2018_2020,279,-8.281948133178096,-0.2872188214130707,-10.928185629220764,-12.292445900666216,61.33785997020056,47.948511362075806,R16c_body_strong
F4_2021_2026,404,19.070356568547876,0.6494309858606816,6.162338117146088,0.6829371531198669,40.13515425806841,65.7348620891571,R16c_body_strong
F1_2009_2013,283,17.89095443116895,0.7845521676631061,10.27358548247678,6.75414387916029,25.998337328274268,88.65085315704346,R15c_mom26w_pos
F2_2014_2017,276,8.86869539020636,0.3787946623253537,4.15275882617684,2.6204662120140165,28.50934854119675,72.73491430282593,R15c_mom26w_pos
F3_2018_2020,241,-5.268347944358043,-0.1435011754178049,-7.116396574886333,-9.278845711846163,58.53097796914658,61.65642285346985,R15c_mom26w_pos
F4_2021_2026,377,23.099052335270876,0.7831673528616172,9.267863816472746,4.7116329198428675,40.254386889969496,88.06034684181213,R15c_mom26w_pos
