variant,book_w,quality_w,cagr_pct,sharpe,sortino,calmar,max_dd_mtm_pct,alpha_annual_pct,total_return_pct,win_rate,payoff
V0: book-only (baseline),1.0,0.0,14.904164144706034,0.656123001192594,0.7721599798332306,0.28960196959461987,51.46430518262234,6.66050353437986,1028.223205394727,,
V1: quality-only,0.0,1.0,20.4746853031303,0.7257175934558991,0.9829327302412586,0.3346105207651321,61.189604129338704,11.95054051298777,2476.3771811151587,,
V2: 80% book / 20% q,0.8,0.2,18.48619102219351,0.7205713821492494,0.9192228839060417,0.44389712557196276,41.645214526618076,9.901095485233181,1827.2380463707727,,
V3: 60% book / 40% q,0.6,0.4,18.961950619959,0.7114801697773498,0.9333959497560983,0.3434710444939529,55.2068388993205,10.240398700484594,1966.763943634117,,
V4: 50% book / 50% q,0.5,0.5,19.161840437294163,0.7111785798181034,0.9245614857913371,0.3447809527866144,55.57685331055241,10.453742012568512,2028.18073637944,,
V5: 40% book / 60% q,0.4,0.6,20.08311240987379,0.7095652621733183,0.9308890198773749,0.3530411681443985,56.886035459919896,11.835534481941949,2334.1558424786413,,
V6: 20% book / 80% q,0.2,0.8,19.839305688565332,0.6985941950007535,0.9046901133794119,0.31938972162343315,62.11629349787364,11.749364370567998,2249.3780093291302,,
V7: 70% book / 30% q,0.7,0.3,18.612367074387983,0.7129313367411513,0.8873612318549842,0.3410371343647152,54.575778409172784,10.167643417084872,1863.350318769685,,
