q_definition,book_w,quality_w,cagr_pct,sharpe,sortino,calmar,max_dd_mtm_pct,alpha_annual_pct,total_return_pct,win_rate,payoff
Q0_quality_safety,0.8,0.2,18.48619102219351,0.7205713821492494,0.9192228839060417,0.44389712557196276,41.645214526618076,9.901095485233181,1827.2380463707727,,
Q1_quality_only,0.8,0.2,19.27759892636496,0.7466357611366723,0.9474495839257103,0.38036890589111017,50.68132181099902,10.600232512630225,2064.5303682198814,,
Q2_safety_only,0.8,0.2,13.51982569937018,0.5347892938272275,0.7058464588591237,0.2073510102645267,65.20260346029832,5.900229949699014,813.225035890413,,
Q3_buffett_gate,0.8,0.2,17.84448400338561,0.7484209892196473,0.9940426334559834,0.4049125359052675,44.06997171250946,9.470108238025484,1653.065080481793,,
Q4_all_factors,0.8,0.2,17.36348485215904,0.6826876460745877,0.8672364537330695,0.3262813554816631,53.21629495662329,8.648091575270348,1532.3599052019415,,
