variant,n_trades,cagr,sharpe,sortino,calmar,dd_pct,alpha_ann,kospi_ann,outperf_ann,beta
R2_sector_cap1,1263,11.194949182992753,0.4338851455883973,0.6105566375199464,0.17747983458659594,63.07730232603138,3.3562686046242143,11.482821323230507,-0.28787214023775487,0.7551818403496322
R2_sector_cap2,1292,11.602943716018842,0.4312340271930028,0.6207473993686985,0.18899102939195533,61.39415057608411,4.191581048286816,11.482821323230507,0.12012239278833547,0.7675961645059831
R2_sector_cap3,1304,12.422024147869703,0.4587522347570419,0.6587958432607239,0.20510625962312973,60.563847103908074,4.961933116462651,11.482821323230507,0.9392028246391959,0.7633506687616157
R2_sector_cap4,1293,12.856619899095033,0.47007524560902536,0.6844964905869017,0.21101489564705797,60.92754665338378,5.364956208808783,11.482821323230507,1.3737985758645266,0.7700426490919748
R3_multitf_005,1263,11.194949182992753,0.4338851455883973,0.6105566375199464,0.17747983458659594,63.07730232603138,3.3562686046242143,11.482821323230507,-0.28787214023775487,0.7551818403496322
R3_multitf_010,1263,11.194949182992753,0.4338851455883973,0.6105566375199464,0.17747983458659594,63.07730232603138,3.3562686046242143,11.482821323230507,-0.28787214023775487,0.7551818403496322
R3_multitf_015,1263,11.194949182992753,0.4338851455883973,0.6105566375199464,0.17747983458659594,63.07730232603138,3.3562686046242143,11.482821323230507,-0.28787214023775487,0.7551818403496322
R4_liq_3억,1235,11.494272865716294,0.43072648722144596,0.5815212491669627,0.1882133562106192,61.07044206179335,3.4330824977112693,11.482821323230507,0.011451542485785282,0.8327507874468306
R4_liq_10억,1228,6.810198692517844,0.2689345778109613,0.36474249883778675,0.11563421680343873,58.894321082263964,-0.9086313048067913,11.482821323230507,-4.672622630712664,0.8298648499742083
R4_liq_50억,1198,7.470507645262736,0.2907021356905903,0.4132719601396629,0.12022428013099515,62.138094211277014,-0.5352864209347954,11.482821323230507,-4.0123136779677715,0.8796054033059886
