variant,n_cands,n_trades,cagr,sharpe,alpha_ann,outperf_ann,dd_pct
book_only_baseline,51508,1263,11.194949182992753,0.4338851455883973,3.3562686046242143,-0.28787214023775487,63.07730232603138
R12a_us_gate_0,276,71,4.0818090206820035,0.23219219327548482,-0.19663051578913232,-7.401012302548504,8.439944620129735
R12b_us_gate_1pct,216,65,3.995145398361477,0.2156144419157303,-0.27323481501660635,-7.4876759248690306,8.102973316911028
R12c_us_gate_3pct,107,49,3.549279882287193,0.1300691659458954,-0.6039004546119071,-7.933541440943315,7.254559518897875
R12d_us_gate_0_strict,276,71,4.0818090206820035,0.23219219327548482,-0.19663051578913232,-7.401012302548504,8.439944620129735
R12e_us_gate_0_pass_unmapped,51339,1262,10.322322641767268,0.40131042636885894,2.7487088183782986,-1.16049868146324,64.14043336431676
R12f_us_gate_1pct_pass_unmapped,51279,1263,10.363210919795351,0.40323513510810727,2.7856612080857173,-1.1196104034351562,64.13278164499525
