variant,n_cands,n_trades,cagr,sharpe,sortino,dd_pct,alpha_ann,outperf_ann
R5_bw08_peak1k_cap4,58024,1299,13.597473618214506,0.47646060759068604,0.6751538094441121,60.83865672008505,6.86548141693256,2.1146522949839985
R8_trend_gate,21879,1064,8.91721931864733,0.356094013446127,0.4437301347553838,56.47657875859815,1.5376788606238097,-2.5656020045831784
R9_multisig_week,9830,1061,7.387086954937394,0.29253193121494264,0.38931407734582024,63.5766733705196,0.33196648971480963,-4.0957343682931135
R10_min_str_05,51508,1263,11.194949182992753,0.4338851455883973,0.6105566375199464,63.07730232603138,3.3562686046242143,-0.28787214023775487
R10_min_str_06,51508,1263,11.194949182992753,0.4338851455883973,0.6105566375199464,63.07730232603138,3.3562686046242143,-0.28787214023775487
R10_min_str_07,51508,1263,11.194949182992753,0.4338851455883973,0.6105566375199464,63.07730232603138,3.3562686046242143,-0.28787214023775487
