variant,fold,n_trades,cagr,sharpe,alpha_ann,outperf_ann,dd_pct,seconds
book_only_baseline,F1_2009_2013,313,16.38151758849158,0.7384985175426854,9.420134421678684,5.244707036482921,26.911509523807087,107.45791006088257
book_only_baseline,F2_2014_2017,299,10.012713479180801,0.4151187305855256,5.452993389661009,3.7644843009884577,35.14684757827104,85.44737720489502
book_only_baseline,F3_2018_2020,275,-6.169159529953916,-0.15245258708160994,-7.874783454981883,-10.179657297442034,59.802716368199484,73.96777367591858
book_only_baseline,F4_2021_2026,422,20.821118146571614,0.6997110501723575,6.7325081945921,2.4336987311436076,40.509945236493664,112.33696413040161
R17a_mom12_AND_26,F1_2009_2013,263,20.29729447329909,0.884689215836391,12.063148356781113,9.16048392129043,22.59719085338241,83.45948934555054
R17a_mom12_AND_26,F2_2014_2017,264,5.317998112004019,0.21123012000549835,0.616326324519,-0.9302310661883251,29.382036351284846,67.79819107055664
R17a_mom12_AND_26,F3_2018_2020,230,-3.274875654138598,-0.0633610240516314,-4.945035351428028,-7.285373421626717,55.97823229639475,57.424965620040894
R17a_mom12_AND_26,F4_2021_2026,348,27.919654544730598,0.893228298111828,13.425817482366487,9.532235129302592,40.88146416642441,81.53270125389099
R17f_mom26_sec_cap2,F1_2009_2013,290,15.837341121097893,0.6889179184540887,8.816181600336602,4.700530569089234,25.62142676315587,87.92583107948303
R17f_mom26_sec_cap2,F2_2014_2017,297,7.852778597025467,0.3205960671542981,3.121099893439757,1.6045494188331233,30.692031203812974,68.27686738967896
R17f_mom26_sec_cap2,F3_2018_2020,238,11.28700501920914,0.392536830874363,11.933921482179718,7.2765072517210205,54.998664678174,60.62517166137695
R17f_mom26_sec_cap2,F4_2021_2026,389,23.391987211101274,0.7816979578310337,9.620003386130294,5.004567795673265,39.414442180092514,87.44489789009094
R17g_mom_12_26_body50,F1_2009_2013,261,29.373146276933902,1.1430272592919384,20.85016930418317,18.236335724925247,33.78207965744154,54.77521824836731
R17g_mom_12_26_body50,F2_2014_2017,252,16.482632637946224,0.7181035176743639,10.82262562733526,10.234403459753882,19.74111943340463,43.603902101516724
R17g_mom_12_26_body50,F3_2018_2020,232,-10.953886748195597,-0.48311091135123774,-14.124945115623586,-14.964384515683715,58.14923884499278,37.95549392700195
R17g_mom_12_26_body50,F4_2021_2026,342,19.93453640541705,0.6997861557571292,6.374541197977048,1.5471169899890391,39.738469947735126,53.755406618118286
