fold,variant,n_trades,cagr,sharpe,calmar,max_dd,alpha_ann
train,9B_bw060_peak1000억_PIT,2007,24.1592392999878,1.0115761784307236,1.2236119048020555,19.744200922837585,15.976213227512392
train,9B_bw060_peak1조_PIT,2241,7.189699169440966,0.3084104723554503,0.2570018145363021,27.97528563139932,0.7178172452247453
train,9B_bw060_peak2000억_PIT,2063,13.966146917752663,0.6201197414763646,0.6084604181256027,22.953254643541456,7.163956282760132
train,9B_bw060_peak5480억_PIT,2354,10.688296681712451,0.4810234598407944,0.4213397413133226,25.367406949073594,4.13214951524291
train,9B_bw060_peak7500억_PIT,2323,11.976649693308406,0.5462484047163984,0.6025923383671182,19.875210703412318,5.151881565818692
train,9B_bw070_peak1000억_PIT,2002,25.324039921427975,1.0715486149057614,1.2470595956822064,20.3070005708704,16.991464784934294
train,9B_bw070_peak1조_PIT,2255,10.939651788990702,0.5062998421351116,0.5278503897397956,20.72490993969601,4.238651237568362
train,9B_bw070_peak2000억_PIT,2057,16.022431286729688,0.7195378928348003,0.7250353851915828,22.098826642089932,8.995019378258675
train,9B_bw070_peak5480억_PIT,2339,12.59534419552959,0.5763097755381081,0.5329900333392779,23.631481655702842,5.958666797621045
train,9B_bw070_peak7500억_PIT,2287,11.860201772459721,0.5446048469096154,0.511603298579879,23.182418497655433,5.05025349551425
train,9B_bw080_peak1000억_PIT,1960,24.88844021374783,1.05873261592306,1.3136863174561018,18.94549702088947,16.629034663568213
train,9B_bw080_peak1조_PIT,2185,12.702985313152816,0.5945021367981485,0.6358367545203538,19.97837530284855,5.759391885216338
train,9B_bw080_peak2000억_PIT,2011,15.215874544775353,0.6778493205043423,0.7033921996810247,21.632134322324685,8.359131496215056
train,9B_bw080_peak5480억_PIT,2256,13.420418218467978,0.6228300750737468,0.6355352755591247,21.116716466542474,6.533600116895216
train,9B_bw080_peak7500억_PIT,2222,14.423494793013925,0.6771112034627355,0.7933872137798132,18.179641091388753,7.319794838483588
train,9B_bw090_peak1000억_PIT,1818,22.221910498853248,0.9500242068935177,1.1851328389186258,18.750565142663355,14.380597683066268
train,9B_bw090_peak1조_PIT,1974,14.971303240688073,0.7047008835200852,0.8279524519855024,18.082322486980477,7.774985843250803
train,9B_bw090_peak2000억_PIT,1871,16.20284801704448,0.7257344075212956,0.7177934197434108,22.57313534977306,9.333996586029132
train,9B_bw090_peak5480억_PIT,2024,14.601589408518588,0.6727478001344412,0.7725261127600981,18.901094949851874,7.552042399858749
train,9B_bw090_peak7500억_PIT,1994,15.41526062688552,0.7212517007931886,0.7778489683026242,19.817806868759863,8.22190772357231
train,9B_bw100_peak5480억_PIT,1648,21.372811342689403,1.0345247805627111,1.0359513673485472,20.631095258256938,13.396802475727798
train,C_cap1_book1,1648,21.372811342689403,1.0345247805627111,1.0359513673485472,20.631095258256938,13.396802475727798
test,9B_bw070_peak1000억_PIT,1643,7.466501706854145,0.29597816186913806,0.14437437549882007,51.71625283958486,-1.6187748692576065
test,C_cap1_book1,1366,9.286513810886298,0.3935356829869915,0.1839862663335706,50.473951104859495,-0.5098227506300717
test,9B_bw080_peak5480억_PIT,1822,3.3770844538851597,0.12622250732700702,0.056850080297848424,59.40333656860236,-6.655682284129272
test,9B_bw080_peak1000억_PIT,1585,8.950876483242286,0.35148350444428567,0.17679176706561178,50.62948706158017,-0.11208738506598756
