fold,key,n_trades,cagr,sharpe,max_dd,alpha_ann
train,P12_00_baseline@train,581,11.890652401398505,0.5033308462086956,32.24662252631132,5.79299849708316
test,P12_00_baseline@test,676,13.38374976316532,0.4728876999045535,56.31281962548971,3.0770713602264257
train,P12_10_kelly_quarter@train,581,3.8008155577547553,0.13053859355242806,15.142158440289943,-0.5895391837304168
test,P12_10_kelly_quarter@test,676,7.006400570018445,0.3370621115139071,27.440818428593094,0.6493842652810193
train,P12_11_kelly_half@train,581,5.6384600294535625,0.2692708504977849,20.692299711119137,0.7095420324887916
test,P12_11_kelly_half@test,676,9.838737931939168,0.41978437000587665,34.53196959453818,2.300919328704635
train,P12_12_kelly_full@train,581,7.729300441259523,0.3650182100998016,25.420606395325734,2.3146048207827037
test,P12_12_kelly_full@test,676,12.016287119095125,0.45869268305223626,43.00834729999564,3.488928877902999
train,P12_20_uniform_by_avg@train,581,11.520771585978839,0.48831946879731325,33.353467705833935,5.4460690495980915
test,P12_20_uniform_by_avg@test,676,14.466540411028816,0.5013871646074982,56.0365980126586,4.2744708200312616
