ticker,score,top_pattern,top_pattern_tf,daily_n,daily_win,daily_cagr,daily_bh_cagr,daily_alpha,daily_pyramid,daily_scaleout,daily_total,weekly_n,weekly_win,weekly_cagr,weekly_bh_cagr,weekly_alpha,weekly_pyramid,weekly_scaleout,weekly_total,monthly_n,monthly_win,monthly_cagr,monthly_bh_cagr,monthly_alpha,monthly_pyramid,monthly_scaleout,monthly_total
005720.KS,1.0,역H&S,weekly,61,31.15,1.36,7.41,-6.05,1,0,7.12,5,20.0,-3.64,7.41,-11.04,3,1,-17.15,1,0.0,-0.19,7.4,-7.59,0,0,-0.97
005740.KS,1.0,역H&S,weekly,33,21.21,-9.46,-8.54,-0.92,0,0,-39.63,3,0.0,-4.25,-8.54,4.29,0,0,-19.78,0,0,0,-10.36,0,0,0,0
007610.KS,1.0,삼중바닥,weekly,2,50.0,29.88,24.7,5.18,1,0,277.06,1,100.0,6.67,24.69,-18.02,0,0,38.82,1,100.0,6.66,22.56,-15.9,0,0,38.82
010280.KQ,1.0,쌍바닥,weekly,40,27.5,-3.39,2.52,-5.9,0,0,-16.05,5,40.0,-2.05,2.51,-4.56,1,0,-9.98,1,100.0,3.05,2.51,0.54,0,0,16.5
014440.KS,1.0,쌍바닥,weekly,45,33.33,-5.95,1.46,-7.41,0,0,-26.78,4,50.0,2.95,1.46,1.49,0,0,15.91,1,0.0,-0.21,-1.75,1.55,0,0,-1.05
017670.KS,1.0,역H&S,weekly,51,27.45,3.89,14.3,-10.41,2,0,21.39,10,60.0,4.75,14.29,-9.55,4,0,26.56,0,0,0,14.17,0,0,0,0
019180.KS,1.0,쌍봉,weekly,41,31.71,2.69,18.07,-15.38,0,0,14.43,9,11.11,-3.88,18.06,-21.95,0,0,-18.23,0,0,0,20.51,0,0,0,0
019210.KQ,1.0,삼중바닥,weekly,36,25.0,0.49,13.94,-13.46,0,0,2.5,0,0,0,13.93,0,0,0,0,0,0,0,13.09,0,0,0,0
025820.KS,1.0,삼중바닥,weekly,46,23.91,-22.14,13.82,-35.96,0,0,-71.93,8,37.5,-1.44,13.81,-15.25,3,0,-7.09,1,100.0,1.71,7.03,-5.32,0,0,9.0
030200.KS,1.0,삼중바닥,daily,66,46.97,1.13,16.44,-15.3,2,1,5.89,7,42.86,1.93,16.43,-14.5,1,0,10.21,0,0,0,16.49,0,0,0,0
032640.KS,1.0,삼중바닥,weekly,34,26.47,-4.66,4.7,-9.35,1,0,-21.5,5,20.0,-1.36,4.69,-6.06,5,1,-6.74,0,0,0,4.61,0,0,0,0
034950.KQ,1.0,삼중바닥,weekly,53,33.96,5.31,3.67,1.64,4,1,30.05,5,80.0,1.35,3.67,-2.32,0,0,7.05,1,0.0,-0.09,3.78,-3.88,0,0,-0.47
036170.KQ,1.0,쌍바닥,weekly,16,18.75,-9.84,29.65,-39.49,1,0,-40.88,2,50.0,19.23,29.63,-10.4,3,0,144.29,0,0,0,33.65,0,0,0,0
036830.KQ,1.0,역H&S,weekly,37,16.22,-20.37,7.32,-27.69,0,0,-68.53,7,28.57,-9.45,7.32,-16.77,2,1,-39.61,1,0.0,-3.1,8.06,-11.16,0,0,-14.79
036930.KQ,1.0,쌍바닥,weekly,38,36.84,1.52,65.18,-63.66,2,1,7.95,6,50.0,20.77,65.14,-44.37,3,0,160.71,0,0,0,64.56,0,0,0,0
039740.KQ,1.0,삼중바닥,weekly,57,17.54,-18.53,3.06,-21.59,0,0,-64.66,1,0.0,-1.0,3.06,-4.06,0,0,-4.98,1,100.0,1.06,2.89,-1.83,0,0,5.53
041830.KQ,1.0,삼중바닥,daily,54,35.19,-0.6,15.51,-16.11,0,0,-3.03,5,20.0,-2.75,15.5,-18.25,0,0,-13.22,0,0,0,17.25,0,0,0,0
051360.KQ,1.0,삼중바닥,weekly,32,50.0,3.55,18.0,-14.45,0,0,19.36,11,36.36,2.91,17.98,-15.07,0,0,15.7,1,100.0,0.91,18.49,-17.59,0,0,4.69
