ticker,score,top_pattern,top_pattern_tf,daily_n,daily_win,daily_cagr,daily_bh_cagr,daily_alpha,daily_pyramid,daily_scaleout,daily_total,weekly_n,weekly_win,weekly_cagr,weekly_bh_cagr,weekly_alpha,weekly_pyramid,weekly_scaleout,weekly_total,monthly_n,monthly_win,monthly_cagr,monthly_bh_cagr,monthly_alpha,monthly_pyramid,monthly_scaleout,monthly_total
000270.KS,1.0,쌍바닥,daily,49,38.78,2.53,15.18,-12.66,1,0,13.49,11,54.55,5.25,15.18,-9.93,2,0,29.67,0,0,0,17.93,0,0,0,0
001040.KS,1.0,삼중바닥,weekly,33,39.39,3.65,16.67,-13.02,1,0,19.94,10,20.0,-9.33,16.66,-25.99,3,1,-39.19,1,0.0,-1.03,17.09,-18.12,0,0,-5.12
001440.KS,1.0,쌍바닥,daily,30,36.67,6.12,43.77,-37.65,2,0,35.17,4,0.0,-5.83,43.74,-49.57,0,0,-26.28,0,0,0,45.03,0,0,0,0
001450.KS,1.0,삼중바닥,weekly,49,32.65,-6.88,6.53,-13.42,0,0,-30.37,6,16.67,-6.44,6.53,-12.97,1,0,-28.67,0,0,0,6.0,0,0,0,0
001800.KS,1.0,쌍바닥,weekly,53,28.3,-1.42,8.55,-9.97,1,0,-6.99,6,33.33,-0.56,8.55,-9.1,5,0,-2.79,0,0,0,6.98,0,0,0,0
003300.KS,1.0,쌍바닥,weekly,52,21.15,-6.61,8.11,-14.72,1,0,-29.35,7,42.86,-2.06,8.1,-10.17,2,1,-10.04,0,0,0,6.9,0,0,0,0
003495.KS,1.0,삼중바닥,weekly,29,17.24,-6.55,-9.39,2.84,0,0,-29.1,0,0,0,-9.38,0,0,0,0,0,0,0,-9.37,0,0,0,0
003555.KS,1.0,삼중바닥,weekly,38,34.21,-0.17,3.73,-3.91,0,0,-0.88,2,0.0,-1.12,3.73,-4.86,2,1,-5.58,1,100.0,1.26,0.8,0.47,0,0,6.59
003650.KS,1.0,삼중바닥,weekly,59,25.42,-7.65,7.93,-15.59,0,0,-33.24,3,0.0,-1.72,7.93,-9.65,4,2,-8.42,1,0.0,-0.59,8.21,-8.79,0,0,-2.96
004150.KS,1.0,삼중바닥,weekly,26,46.15,5.84,-1.79,7.64,0,0,33.42,3,0.0,-3.02,-1.79,-1.23,1,0,-14.42,0,0,0,-3.27,0,0,0,0
005387.KS,1.0,삼중바닥,daily,56,26.79,2.97,21.37,-18.41,1,0,15.99,10,30.0,8.59,21.36,-12.77,1,0,51.97,0,0,0,21.56,0,0,0,0
005430.KS,1.0,삼중바닥,weekly,38,39.47,-3.01,11.88,-14.89,0,0,-14.38,9,44.44,-0.26,11.87,-12.14,2,0,-1.33,0,0,0,11.62,0,0,0,0
